"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","bio","district_number","chamber","session_id","termination_date","member_id","leg_party_loyalty","leg_party_independence","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_n_votes_missing","setting_party_loyalty","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D"
1678,"grc5uk91",9,"R","Debbie Mayfield","Debbie","","Mayfield","","",68943,107965,"",269005,"http://ballotpedia.org/Debbie_Mayfield","","850-487-5019",19,"Senate",2220,NA,19,0.972972972972973,0.00211134570507834,1295,1260,7470,35,215,19,0,7,"partisan_cross",27,15,NA,17,NA
17676,"sjgd77kv",9,"R","Jim Boyd","Jim","","Boyd","","",12998814,117037,"",293429,"http://ballotpedia.org/Jim_Boyd","","850-487-5020",20,"Senate",2220,NA,20,0.991836734693878,0.00223807525528046,980,972,6003,8,150,16,0,7,"partisan_cross",25,13,NA,7,NA
1664,"1ukjmsyb",9,"R","Ed Hooper","Ed","","Hooper","","",1287627,53831,"",248530,"http://ballotpedia.org/Ed_Hooper","","850-487-5021",21,"Senate",2220,NA,21,0.951,0.00314078929400519,1000,951,6134,49,163,23,3,10,"partisan_cross",17,6,NA,23,NA
18057,"gx1kxrc2",9,"R","Joe Gruters","Joe","","Gruters","","",12998816,17342,"",406446,"http://ballotpedia.org/Joe_Gruters","","850-487-5022",22,"Senate",2220,NA,22,0.952830188679245,0.00626790830945559,636,606,4430,30,482,35,1,7,"partisan_cross",14,4,NA,21,NA
16595,"feomdl8z",9,"R","Daniel Burgess","Daniel","Wright","Burgess","Jr.","Danny",25004958,149394,"",484629,"http://ballotpedia.org/Daniel_Burgess","","850-487-5023",23,"Senate",2220,NA,23,0.980769230769231,0.000876117049237778,728,714,4785,14,189,5,0,7,"partisan_cross",36,24,NA,15,NA
1622,"n2su1c2m",9,"D","Mackenson Bernard","Mackenson","","Bernard","","Mack",6509133,112529,"",280956,"http://ballotpedia.org/Mack_Bernard","","850-487-5024",24,"Senate",2220,NA,24,0.825986078886311,0.00262664165103189,431,356,2128,75,82,7,17,1,"partisan_cross",21,NA,12,NA,11
21780,"hf4qqey7",9,"D","Kristen Arrington","Kristen","","Arrington","","",28148917,194624,"",744698,"http://ballotpedia.org/Kristen_Arrington","","850-487-5025",25,"Senate",2220,NA,25,0.906095551894563,0.00713330361123495,607,550,3698,57,128,32,21,1,"partisan_cross",13,NA,10,NA,6
12363,"z9j4lnrg",9,"D","Lori Berman","Lori","B.","Berman","","",28610,117031,"",291114,"http://ballotpedia.org/Lori_Berman","","850-487-5026",26,"Senate",2220,NA,26,0.976784178847807,0.0309555854643338,1163,1136,6489,27,244,253,24,7,"partisan_cross",3,NA,2,NA,2
12360,"78xpo0kc",9,"R","Ben Albritton","Ben","","Albritton","","",12998756,117015,"",291098,"http://ballotpedia.org/Ben_Albritton","","850-487-5027",27,"Senate",2220,NA,27,0.993162393162393,0.00148312940304042,1170,1162,6591,8,317,12,1,1,"partisan_cross",29,17,NA,4,NA
12387,"0yi34b0r",9,"R","Kathleen Passidomo","Kathleen","C.","Passidomo","","",70284,124279,"",308804,"http://ballotpedia.org/Kathleen_Passidomo","","850-487-5028",28,"Senate",2220,NA,28,0.984670874661858,0.00250783699059561,1109,1092,6755,17,91,20,0,4,"partisan_cross",22,10,NA,13,NA
19064,"i67rpplo",9,"R","Erin Grall","Erin","K.","Grall","","",61683,117112,"",289453,"http://ballotpedia.org/Erin_Grall","","850-487-5029",29,"Senate",2220,NA,29,0.938461538461538,0.00983916745506149,780,732,4113,48,337,52,3,3,"partisan_cross",9,3,NA,24,NA
19940,"eq7666uu",9,"D","Tina Polsky","Tina","","Polsky","","",15916244,184461,"",652562,"http://ballotpedia.org/Tina_Polsky","","850-487-5030",30,"Senate",2220,NA,30,0.922818791946309,0.00813544415127529,596,550,3733,46,165,37,17,7,"partisan_cross",12,NA,9,NA,4
12379,"s5v8rbs6",9,"R","Gayle Harrell","Gayle","B.","Harrell","","",54371,53962,"",205899,"http://ballotpedia.org/Gayle_Harrell","","850-487-5031",31,"Senate",2220,NA,31,0.961832061068702,0.00292732595138093,1048,1008,6440,40,346,23,0,6,"partisan_cross",19,8,NA,18,NA
23121,"wugdfhmi",9,"D","Rosalind Osgood","Rosalind","","Osgood","","",745520,200762,"",776914,"http://ballotpedia.org/Rosalind_Osgood","","850-487-5032",32,"Senate",2220,NA,32,0.921259842519685,0.013713658804169,381,351,3108,30,92,50,15,14,"partisan_cross",6,NA,5,NA,5
23321,"he2w9d7z",9,"R","Jonathan Martin","Jonathan","","Martin","","",45927469,138146,"",0,"http://ballotpedia.org/Jonathan_Martin_(Florida)","","850-487-5033",33,"Senate",2220,NA,33,0.953020134228188,0.00273878808627182,298,284,2493,14,122,8,0,8,"partisan_cross",20,9,NA,20,NA
16026,"499cim6s",9,"D","Shevrin Jones","Shevrin","D.","Jones","","Shev",13889121,142186,"",425634,"http://ballotpedia.org/Shevrin_Jones","","850-487-5034",34,"Senate",2220,NA,34,0.891891891891892,0.00870023727919852,925,825,5566,100,1006,66,23,14,"partisan_cross",10,NA,7,NA,7
25389,"atswbq9t",9,"D","Barbara Sharief","Barbara","","Sharief","","",45470601,112566,"",0,"http://ballotpedia.org/Barbara_Sharief","","850-487-5035",35,"Senate",2220,NA,35,0.882352941176471,0.00400962309542903,85,75,989,10,160,5,8,2,"partisan_cross",15,NA,11,NA,8
21775,"leb4b3n8",9,"R","Ileana Garcia","Ileana","","Garcia","","",50171409,194449,"",242995,"http://ballotpedia.org/Ileana_Garcia","","850-487-5036",36,"Senate",2220,NA,36,0.885010266940452,0.00346585117227319,487,431,3946,56,454,17,1,13,"partisan_cross",16,5,NA,28,NA
20632,"bhk55hrk",9,"D","Jason Pizzo","Jason","W.B.","Pizzo","","",15941899,172750,"",588895,"http://ballotpedia.org/Jason_Pizzo","","850-487-5037",37,"Senate",2212,NA,37,0.807881773399015,0.0101812763844053,406,328,3392,78,173,41,15,1,"partisan_cross",7,NA,6,NA,12
23320,"o8r9wc7r",9,"R","Alexis Calatayud","Alexis","Maria","Calatayud","","",53501685,209251,"",0,"http://ballotpedia.org/Alexis_Calatayud","","850-487-5038",38,"Senate",2220,NA,38,0.908450704225352,0,284,258,2322,26,90,0,0,5,"partisan_cross",40,28,NA,27,NA
17173,"7369ytue",9,"R","Bryan Avila","Bryan","","Avila","","",15696405,138077,"",388830,"http://ballotpedia.org/Bryan_Avila","","850-487-5039",39,"Senate",2220,NA,39,0.992941176470588,0.00045689917758148,850,844,5199,6,514,3,0,5,"partisan_cross",38,26,NA,5,NA
20905,"ae5mf9fp",9,"R","Ana Rodriguez","Ana","Maria","Rodriguez","","",45388189,184489,"",652597,"http://ballotpedia.org/Ana_Maria_Rodriguez","","850-487-5040",40,"Senate",2220,NA,40,0.952691680261011,0.000583544057576347,613,584,4435,29,90,3,0,11,"partisan_cross",37,25,NA,22,NA
1615,"uuep8wzp",9,"D","Joseph Abruzzo","Joseph","C.","Abruzzo","","",28274,68049,"",269011,"http://ballotpedia.org/Joseph_Abruzzo",NA,NA,81,"House",1469,NA,NA,0.863723608445297,0.00882825040128411,521,450,2864,71,310,33,10,0,"partisan_cross",102,NA,79,NA,86
1616,"z1h9pkfz",9,"R","Sandra Adams","Sandra","","Adams","","Sandy",1918337,31041,"",211824,"http://ballotpedia.org/Sandra_Adams",NA,NA,33,"House",35,NA,NA,0.979166666666667,0.0130151843817787,96,94,354,2,5,6,0,0,"partisan_cross",74,12,NA,127,NA
1617,"raxl9qb8",9,"R","Janet Adkins","Janet","H.","Adkins","","",786625,107660,"",242837,"http://ballotpedia.org/Janet_Adkins",NA,NA,11,"House",1179,NA,NA,0.985365853658537,0.00484652665589661,615,606,2422,9,43,15,0,0,"partisan_cross",171,61,NA,100,NA
1618,"w1mra6l6",9,"R","Kevin Ambler","Kevin","C.","Ambler","","",12998698,31074,"",211846,"http://ballotpedia.org/Kevin_Ambler",NA,NA,47,"House",35,NA,NA,0.871794871794872,0.00216919739696312,78,68,307,10,74,1,1,0,"partisan_cross",267,140,NA,226,NA
1619,"zs4z11gj",9,"R","Thomas Anderson","Thomas","","Anderson","","Tom",787385,31189,"",211823,"http://ballotpedia.org/Thomas_Anderson,_Florida_Representative",NA,NA,45,"House",35,NA,NA,0.860215053763441,0,93,80,344,13,24,0,0,0,"partisan_cross",359,232,NA,228,NA
1620,"tfug23xm",9,"R","Gary Aubuchon","Gary","E.","Aubuchon","","",364331,69439,"",249068,"http://ballotpedia.org/Gary_Aubuchon",NA,NA,74,"House",288,NA,NA,0.979166666666667,0.00069060773480663,336,329,1087,7,24,1,0,0,"partisan_cross",324,197,NA,126,NA
1621,"2xk4ftta",9,"D","Leonard Bembry","Leonard","L.","Bembry","","",12998534,107648,"",268929,"http://ballotpedia.org/Leonard_Bembry",NA,NA,2,"House",288,NA,NA,0.668674698795181,0.00414364640883978,332,222,1093,110,12,6,5,0,"partisan_cross",193,NA,116,NA,122
1624,"2vo2n7zl",9,"R","Esteban Bovo","Esteban","L.","Bovo","Jr.","",6677197,73705,"",269029,"http://ballotpedia.org/Esteban_Bovo_Jr.",NA,NA,110,"House",130,NA,NA,0.971698113207547,0,106,103,353,3,59,0,1,0,"partisan_cross",355,228,NA,159,NA
1625,"fhnzvy76",9,"D","Debbie Boyd","Debbie","","Boyd","","",21610,68039,"",249657,"http://ballotpedia.org/Debbie_Boyd",NA,NA,11,"House",1110,NA,NA,0.255102040816327,0.00454545454545455,294,75,1008,219,9,6,3,0,"partisan_cross",179,NA,113,NA,127
1626,"dg4ozqc5",9,"D","Mary Brandenburg","Mary","","Brandenburg","","",1008672,31161,"",211848,"http://ballotpedia.org/Mary_Brandenburg",NA,NA,89,"House",35,NA,NA,0.958762886597938,0.00867678958785249,97,93,317,4,42,4,1,0,"partisan_cross",105,NA,81,NA,27
1628,"cuyxuoj2",9,"D","Ronald Brise","Ronald","A.","Brise","","",12999009,31046,"",248586,"http://ballotpedia.org/Ronald_Bris%C3%A9",NA,NA,108,"House",35,NA,NA,0.9375,0.00650759219088937,96,90,306,6,55,3,1,0,"partisan_cross",140,NA,102,NA,42
1630,"8el966xl",9,"R","Rachel Burgin","Rachel","V.","Burgin","","",6679844,110590,"",251118,"http://ballotpedia.org/Rachel_Burgin",NA,NA,56,"House",288,NA,NA,0.988165680473373,0.00276243093922652,338,334,1089,4,17,4,0,0,"partisan_cross",230,106,NA,90,NA
1631,"6jt36wuf",9,"D","James Bush","James","","Bush","III","",6415847,24232,"",193620,"http://ballotpedia.org/James_Bush_(Florida)","",NA,109,"House",1980,NA,NA,0.624,0.00668501769563508,375,234,1911,141,235,17,5,0,"partisan_cross",135,NA,100,NA,124
1632,"knh2ec9q",9,"R","Dean Cannon","Dean","","Cannon","Jr.","",12998642,31126,"",226978,"http://ballotpedia.org/Dean_Cannon",NA,NA,35,"House",288,NA,NA,0.993730407523511,0.00069060773480663,319,317,1022,2,106,1,0,0,"partisan_cross",326,199,NA,57,NA
1633,"jzjobq45",9,"R","Jennifer Carroll","Jennifer","S.","Carroll","","",737043,31125,"",216648,"http://ballotpedia.org/Jennifer_Carroll",NA,NA,13,"House",35,NA,NA,0.989473684210526,0.00216919739696312,95,94,340,1,25,1,0,0,"partisan_cross",264,137,NA,80,NA
1634,"zp8g6m0j",9,"D","Charles Chestnut","Charles","S.","Chestnut","IV","Chuck",716102,67900,"",248522,"http://ballotpedia.org/Charles_Chestnut_IV",NA,NA,23,"House",288,NA,NA,0.853658536585366,0.00759668508287293,328,280,1087,48,17,11,5,0,"partisan_cross",121,NA,90,NA,92
1635,"e5nh7dh9",9,"D","Gwyndolen Clarke-Reed","Gwyndolen","","Clarke-Reed","","Gwyn",52402,108003,"",269018,"http://ballotpedia.org/Gwyndolen_Clarke-Reed",NA,NA,92,"House",1179,NA,NA,0.935323383084577,0.0151857835218094,603,564,2381,39,59,47,5,0,"partisan_cross",67,NA,57,NA,46
1636,"zbeemcz7",9,"R","Marti Coley","Marti","","Coley","","",1557420,1631,"",239184,"http://ballotpedia.org/Marti_Coley",NA,NA,5,"House",1110,NA,NA,0.973684210526316,0.00218722659667542,456,444,1736,12,89,5,0,0,"partisan_cross",261,134,NA,149,NA
1637,"az5bj0zp",9,"R","Larry Cretul","Larry","","Cretul","","",2359388,30949,"",213122,"http://ballotpedia.org/Larry_Cretul",NA,NA,22,"House",35,NA,NA,0.978947368421053,0,95,93,296,2,70,0,0,0,"partisan_cross",357,230,NA,128,NA
1638,"o2r3sfwr",9,"R","Steve Crisafulli","Steve","","Crisafulli","","",734971,107732,"",268959,"http://ballotpedia.org/Steve_Crisafulli",NA,NA,51,"House",1179,NA,NA,0.996688741721854,0.00161550888529887,604,602,2427,2,59,5,0,0,"partisan_cross",280,153,NA,34,NA
1639,"7c6p477f",9,"R","Faye Culp","Faye","B.","Culp","","",12998757,24239,"",211827,"http://ballotpedia.org/Faye_Culp",NA,NA,57,"House",35,NA,NA,0.857142857142857,0,91,78,290,13,80,0,0,0,"partisan_cross",360,233,NA,229,NA
1640,"x04wdksi",9,"R","Carl Domino","Carl","J.","Domino","","",115559,53922,"",213128,"http://ballotpedia.org/Carl_Domino",NA,NA,83,"House",35,NA,NA,0.934065934065934,0.00216919739696312,91,85,325,6,44,1,0,0,"partisan_cross",266,139,NA,211,NA
1641,"a4dfdbec",9,"R","Chris Dorworth","Chris","","Dorworth","","",919415,66134,"",260023,"http://ballotpedia.org/Chris_Dorworth",NA,NA,34,"House",288,NA,NA,0.997032640949555,0.00759668508287293,337,336,1079,1,21,11,0,0,"partisan_cross",120,31,NA,32,NA
1642,"x3iw5rl5",9,"R","Brad Drake","Brad","","Drake","","",892175,107626,"",216940,"http://ballotpedia.org/Brad_Drake","",NA,5,"House",1980,NA,NA,0.971230158730159,0.00737871241468364,1008,979,4142,29,231,40,0,0,"partisan_cross",124,32,NA,161,NA
1643,"98g21mh9",9,"R","Eric Eisnaugle","Eric","","Eisnaugle","","E",6677230,107744,"",268967,"http://ballotpedia.org/Eric_Eisnaugle",NA,NA,44,"House",1256,NA,NA,0.971666666666667,0.00890207715133531,600,583,2359,17,47,27,0,0,"partisan_cross",101,23,NA,160,NA
1645,"rf3b7mrl",9,"D","Adam Fetterman","Adam","M.","Fetterman","","",12998881,107969,"",269007,"http://ballotpedia.org/Adam_Fetterman",NA,NA,81,"House",35,NA,NA,0.978021978021978,0.0195227765726681,91,89,305,2,55,9,1,0,"partisan_cross",45,NA,38,NA,7
1646,"y35tob57",9,"D","Keith Fitzgerald","Keith","","Fitzgerald","","",12998823,68136,"",248546,"http://ballotpedia.org/Keith_Fitzgerald",NA,NA,69,"House",35,NA,NA,0.947368421052632,0.0108459869848156,95,90,354,5,6,5,1,0,"partisan_cross",88,NA,72,NA,32
1648,"vro31trq",9,"R","Clay Ford","Clay","","Ford","","",998054,70522,"",253287,"http://ballotpedia.org/Clay_Ford",NA,NA,2,"House",961,NA,NA,0.988235294117647,0.00549073438572409,340,336,1096,4,13,8,0,0,"partisan_cross",154,48,NA,89,NA
1649,"8eow15hw",9,"R","Erik Fresen","Erik","","Fresen","","",12999043,108113,"",269031,"http://ballotpedia.org/Erik_Fresen",NA,NA,114,"House",1179,NA,NA,0.972742759795571,0.000646203554119548,587,571,2323,16,182,2,1,0,"partisan_cross",327,200,NA,154,NA
1650,"bf1oovpu",9,"R","James Frishe","James","C.","Frishe","","Jim",12998739,68117,"",248537,"http://ballotpedia.org/James_Frishe",NA,NA,54,"House",288,NA,NA,0.968847352024922,0.00276243093922652,321,311,1062,10,61,4,0,0,"partisan_cross",232,107,NA,168,NA
1652,"ho4229w8",9,"D","Luis Garcia","Luis","R.","Garcia","","",12999026,65695,"",248584,"http://ballotpedia.org/Luis_Garcia_(Florida_representative)",NA,NA,107,"House",288,NA,NA,0.93167701863354,0.0069060773480663,322,300,981,22,130,10,5,0,"partisan_cross",129,NA,95,NA,47
1653,"6yk91h12",9,"D","Joseph Gibbons","Joseph","A.","Gibbons","","Joe",12999018,68167,"",249075,"http://ballotpedia.org/Joseph_Gibbons",NA,NA,100,"House",1110,NA,NA,0.893709327548807,0.00568678915135608,461,412,1757,49,51,13,4,0,"partisan_cross",151,NA,104,NA,72
1655,"6r52o12w",9,"R","Richard Glorioso","Richard","","Glorioso","","Rich",68735,31051,"",227015,"http://ballotpedia.org/Richard_Glorioso",NA,NA,62,"House",288,NA,NA,0.975609756097561,0.00207182320441989,328,320,1026,8,91,3,0,0,"partisan_cross",268,141,NA,142,NA
1656,"5trxiyxe",9,"R","Eduardo Gonzalez","Eduardo","","Gonzalez","","Eddy",12999003,69471,"",248582,"http://ballotpedia.org/Eduardo_Gonzalez_(Florida)",NA,NA,111,"House",1046,NA,NA,0.957173447537473,0.00131233595800525,467,447,1780,20,35,3,1,0,"partisan_cross",295,168,NA,192,NA
1657,"bmkjtz6t",9,"R","Tom Grady","Tom","","Grady","","",6677256,107949,"",268998,"http://ballotpedia.org/Tom_Grady_(Florida)",NA,NA,76,"House",35,NA,NA,0.96875,0.0108459869848156,96,93,337,3,23,5,0,0,"partisan_cross",87,16,NA,169,NA
1659,"cl821lfd",9,"R","Adam Hasner","Adam","","Hasner","","",1807784,31241,"",211814,"http://ballotpedia.org/Adam_Hasner",NA,NA,87,"House",35,NA,NA,0.978723404255319,0.00433839479392625,94,92,339,2,26,2,0,0,"partisan_cross",184,71,NA,130,NA
1661,"bet8pcmg",9,"D","Bill Heller","Bill","","Heller","","",22120,66241,"",248533,"http://ballotpedia.org/Bill_Heller",NA,NA,52,"House",35,NA,NA,0.917525773195876,0.00650759219088937,97,89,352,8,8,3,1,0,"partisan_cross",138,NA,101,NA,54
1662,"r8vog90k",9,"R","Doug Holder","Doug","","Holder","","",12998827,68141,"",249662,"http://ballotpedia.org/Doug_Holder",NA,NA,74,"House",1110,NA,NA,0.984444444444444,0,450,443,1755,7,81,0,0,0,"partisan_cross",346,219,NA,106,NA
1663,"nutbuxy3",9,"R","Edward Homan","Edward","S.","Homan","Jr.","Ed",115676,53963,"",211837,"http://ballotpedia.org/Ed_Homan",NA,NA,60,"House",35,NA,NA,0.739583333333333,0.00433839479392625,96,71,356,25,7,2,0,0,"partisan_cross",182,69,NA,232,NA
1665,"xhbgt0tb",9,"R","Mike Horner","Mike","","Horner","","",6677262,107959,"",269002,"http://ballotpedia.org/Mike_Horner",NA,NA,79,"House",288,NA,NA,0.997058823529412,0.00138121546961326,340,339,1091,1,15,2,0,0,"partisan_cross",292,165,NA,31,NA
1666,"ih5qcj4q",9,"R","Matt Hudson","Matt","","Hudson","","",1189460,101872,"",260769,"http://ballotpedia.org/Matt_Hudson",NA,NA,80,"House",1179,NA,NA,0.988235294117647,0.00258481421647819,595,588,2405,7,87,8,0,0,"partisan_cross",244,119,NA,88,NA
1668,"tbhzpugl",9,"D","Evan Jenne","Evan","Boyd","Jenne","","",6467573,68166,"",249073,"http://ballotpedia.org/Evan_Jenne","",NA,99,"House",1980,NA,NA,0.956429330499469,0.0275482093663912,941,900,3538,41,103,130,7,0,"partisan_cross",26,NA,23,NA,28
1669,"acmixoqp",9,"D","Mia Jones","Mia","L.","Jones","","",243323,73885,"",268934,"http://ballotpedia.org/Mia_Jones",NA,NA,14,"House",1179,NA,NA,0.914438502673797,0.0158319870759289,561,513,2338,48,142,49,5,0,"partisan_cross",63,NA,53,NA,59
1670,"kslcsian",9,"R","Kurt Kelly","Kurt","D.","Kelly","","",916364,88823,"",257762,"http://ballotpedia.org/Kurt_Kelly",NA,NA,24,"House",35,NA,NA,0.969072164948454,0.0108459869848156,97,94,346,3,13,5,0,0,"partisan_cross",86,15,NA,166,NA
1671,"jcdvw8f5",9,"D","Martin Kiar","Martin","David","Kiar","","Marty",12998980,31182,"",248577,"http://ballotpedia.org/Martin_David_Kiar",NA,NA,97,"House",288,NA,NA,0.942249240121581,0.00276243093922652,329,310,1092,19,18,4,5,0,"partisan_cross",231,NA,125,NA,36
1672,"mkv0wxku",9,"R","Paige Kreegel","Paige","","Kreegel","","",654263,31029,"",227022,"http://ballotpedia.org/Paige_Kreegel",NA,NA,72,"House",288,NA,NA,0.939929328621908,0.0103591160220994,283,266,964,17,186,15,0,0,"partisan_cross",91,18,NA,208,NA
1673,"iq4s5wtw",9,"D","Rick Kriseman","Rick","","Kriseman","","",12998732,68114,"",248535,"http://ballotpedia.org/Rick_Kriseman",NA,NA,53,"House",288,NA,NA,0.987767584097859,0.0435082872928177,327,323,1010,4,43,63,5,0,"partisan_cross",11,NA,8,NA,3
1675,"anjpcr3s",9,"R","Marcelo Llorente","Marcelo","","Llorente","","",12999061,30791,"",211818,"http://ballotpedia.org/Marcelo_Llorente",NA,NA,116,"House",35,NA,NA,0.913978494623656,0.00650759219088937,93,85,352,8,12,3,1,0,"partisan_cross",141,39,NA,219,NA
1676,"50ja6xjc",9,"D","Janet Long","Janet","C.","Long","","",12998720,67242,"",249661,"http://ballotpedia.org/Janet_Long",NA,NA,51,"House",35,NA,NA,0.914893617021277,0.00433839479392625,94,86,355,8,9,2,1,0,"partisan_cross",185,NA,114,NA,56
1677,"r5r5mtve",9,"R","Carlos Lopez-Cantera","Carlos","","Lopez-Cantera","","",12999049,30976,"",227039,"http://ballotpedia.org/Carlos_Lopez-Cantera",NA,NA,113,"House",288,NA,NA,0.976190476190476,0.00069060773480663,336,328,1083,8,27,1,1,0,"partisan_cross",325,198,NA,138,NA
