stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url
NJ,115,12,congress,Districts for the 116th US Congress,NJ 116th Congressional,0c3e761c-fb70-4745-9da2-b78b949d4122,fd2d3aa4-6d88-4cd5-8498-97fa7f20303d.png,NA,https://davesredistricting.org/maps#viewmap::0c3e761c-fb70-4745-9da2-b78b949d4122
NJ,116,12,congress,Districts for the 116th US Congress,NJ 116th Congressional,0c3e761c-fb70-4745-9da2-b78b949d4122,fd2d3aa4-6d88-4cd5-8498-97fa7f20303d.png,NA,https://davesredistricting.org/maps#viewmap::0c3e761c-fb70-4745-9da2-b78b949d4122
NJ,2018,40,lower,Districts for the 2018 Upper State House,NJ 2018 Upper State House,a15d9637-3381-4ad6-b5ad-a85be7368b49,abfcd587-e52d-49f9-aa20-3fb040414b99.png,NA,https://davesredistricting.org/maps#viewmap::a15d9637-3381-4ad6-b5ad-a85be7368b49
NJ,2018,40,upper,Districts for the 2018 Upper State House,NJ 2018 Upper State House,a15d9637-3381-4ad6-b5ad-a85be7368b49,abfcd587-e52d-49f9-aa20-3fb040414b99.png,NA,https://davesredistricting.org/maps#viewmap::a15d9637-3381-4ad6-b5ad-a85be7368b49
NJ,2020,12,congress,NJ 2020 Congressional,NJ 2020 Congressional,c601c3fd-769d-4a46-9c0c-4801ad29fa31,NA,NA,https://davesredistricting.org/maps#viewmap::c601c3fd-769d-4a46-9c0c-4801ad29fa31
NJ,2020,40,upper,NJ 2020 State Legislatures,NJ 2020 State Legislatures,3e874200-c618-42b5-8ed0-55cfc0bc5755,NA,NA,https://davesredistricting.org/maps#viewmap::3e874200-c618-42b5-8ed0-55cfc0bc5755
NJ,2022,12,congress,NJ 2022 Congressional,NJ 2022 Congressional,6ff0b024-2e5d-4e9b-ba0e-56f6de17ea80,NA,NA,https://davesredistricting.org/maps#viewmap::6ff0b024-2e5d-4e9b-ba0e-56f6de17ea80
NJ,2022,40,upper,NJ 2022 State Legislatures,NJ 2022 State Legislatures,61388384-5d1f-4f3b-9669-31e485b781f1,NA,NA,https://davesredistricting.org/maps#viewmap::61388384-5d1f-4f3b-9669-31e485b781f1
NM,115,3,congress,Districts for the 116th US Congress,NM 116th Congressional,dd6717a4-ea8e-460d-970a-a302d86c1ee1,2dbcc783-62e7-4468-8fac-134a15abe34f.png,NA,https://davesredistricting.org/maps#viewmap::dd6717a4-ea8e-460d-970a-a302d86c1ee1
NM,116,3,congress,Districts for the 116th US Congress,NM 116th Congressional,dd6717a4-ea8e-460d-970a-a302d86c1ee1,2dbcc783-62e7-4468-8fac-134a15abe34f.png,NA,https://davesredistricting.org/maps#viewmap::dd6717a4-ea8e-460d-970a-a302d86c1ee1
NM,2018,70,lower,Districts for the 2018 Lower State House,NM 2018 Lower State House,4700854a-a08d-4a93-96af-2a2395ed21e6,320a310c-b6d6-4fca-8072-b92be39fcd82.png,NA,https://davesredistricting.org/maps#viewmap::4700854a-a08d-4a93-96af-2a2395ed21e6
NM,2018,42,upper,Districts for the 2018 Upper State House,NM 2018 Upper State House,06869f29-1c53-4fce-8e0b-b6e1e49ad95d,af0ae21a-a6d5-4bea-954c-a0c8a83fbef9.png,NA,https://davesredistricting.org/maps#viewmap::06869f29-1c53-4fce-8e0b-b6e1e49ad95d
NM,2020,3,congress,NM 2020 Congressional,NM 2020 Congressional,33ecdb53-4a90-4191-88b2-b58148c20a45,NA,NA,https://davesredistricting.org/maps#viewmap::33ecdb53-4a90-4191-88b2-b58148c20a45
NM,2020,70,lower,NM 2020 State House,NM 2020 State House,cb331bfa-90f3-4f21-aee0-54edce6e5bfa,NA,NA,https://davesredistricting.org/maps#viewmap::cb331bfa-90f3-4f21-aee0-54edce6e5bfa
NM,2020,42,upper,NM 2020 State Senate,NM 2020 State Senate,98f0ac40-b84a-4318-8e3e-9c91c839c6f8,NA,NA,https://davesredistricting.org/maps#viewmap::98f0ac40-b84a-4318-8e3e-9c91c839c6f8
NM,2022,3,congress,NM 2022 Congressional,NM 2022 Congressional,ec1c76cd-f59f-445b-8f24-fbffb0e8bdf5,NA,NA,https://davesredistricting.org/maps#viewmap::ec1c76cd-f59f-445b-8f24-fbffb0e8bdf5
NM,2022,70,lower,NM 2022 State House,NM 2022 State House,5e00bd63-7008-4b5e-b570-db5ba1d36785,NA,NA,https://davesredistricting.org/maps#viewmap::5e00bd63-7008-4b5e-b570-db5ba1d36785
NM,2022,42,upper,NM 2022 State Senate,NM 2022 State Senate,11c9cc63-8521-4785-89f3-58b5e4359507,NA,NA,https://davesredistricting.org/maps#viewmap::11c9cc63-8521-4785-89f3-58b5e4359507
NV,115,4,congress,Districts for the 116th US Congress,NV 116th Congressional,0e58977e-bb6b-488f-b6e1-36d6a55a7c0c,6fe1ef33-7eec-47bd-af97-15caf48595b1.png,NA,https://davesredistricting.org/maps#viewmap::0e58977e-bb6b-488f-b6e1-36d6a55a7c0c
NV,116,4,congress,Districts for the 116th US Congress,NV 116th Congressional,0e58977e-bb6b-488f-b6e1-36d6a55a7c0c,6fe1ef33-7eec-47bd-af97-15caf48595b1.png,NA,https://davesredistricting.org/maps#viewmap::0e58977e-bb6b-488f-b6e1-36d6a55a7c0c
NV,2018,42,lower,Districts for the 2018 Lower State House,NV 2018 Lower State House,33d282f2-d93a-4d5f-aadf-88f50ce2da4a,5b3b82f0-cd0e-4321-a3ff-4fff3dabd3b5.png,NA,https://davesredistricting.org/maps#viewmap::33d282f2-d93a-4d5f-aadf-88f50ce2da4a
NV,2018,21,upper,Districts for the 2018 Upper State House,NV 2018 Upper State House,8cb306b0-bdb4-40d2-8816-92e0bb5d982b,76d46eda-9dfd-4ff9-ad4e-34b2bb35b373.png,NA,https://davesredistricting.org/maps#viewmap::8cb306b0-bdb4-40d2-8816-92e0bb5d982b
NV,2020,4,congress,NV 2020 Congressional,NV 2020 Congressional,43ac26c6-a829-4102-9d40-be3288998318,NA,NA,https://davesredistricting.org/maps#viewmap::43ac26c6-a829-4102-9d40-be3288998318
NV,2020,42,lower,NV 2020 State House,NV 2020 State House,deaf50a1-581a-4f1e-a21b-4d798d6d58c9,NA,NA,https://davesredistricting.org/maps#viewmap::deaf50a1-581a-4f1e-a21b-4d798d6d58c9
NV,2020,21,upper,NV 2020 State Senate,NV 2020 State Senate,fc1bd6ca-39d6-4326-bed0-4d78991177e2,NA,NA,https://davesredistricting.org/maps#viewmap::fc1bd6ca-39d6-4326-bed0-4d78991177e2
NV,2022,4,congress,NV 2022 Congressional,NV 2022 Congressional,eb89e40d-595f-485f-9a43-d1bbdd6d0cb4,NA,NA,https://davesredistricting.org/maps#viewmap::eb89e40d-595f-485f-9a43-d1bbdd6d0cb4
NV,2022,42,lower,NV 2022 State House,NV 2022 State House,2a33203f-8725-48dc-ba1b-478bd6012a58,NA,NA,https://davesredistricting.org/maps#viewmap::2a33203f-8725-48dc-ba1b-478bd6012a58
NV,2022,21,upper,NV 2022 State Senate,NV 2022 State Senate,99808524-5012-4119-91ce-973ba647806b,NA,NA,https://davesredistricting.org/maps#viewmap::99808524-5012-4119-91ce-973ba647806b
NY,115,27,congress,Districts for the 116th US Congress,NY 116th Congressional,8f4e0292-205f-4260-b2f2-717687baa0c6,ecc44c78-800e-4c49-b1ec-66876035d062.png,NA,https://davesredistricting.org/maps#viewmap::8f4e0292-205f-4260-b2f2-717687baa0c6
NY,116,27,congress,Districts for the 116th US Congress,NY 116th Congressional,8f4e0292-205f-4260-b2f2-717687baa0c6,ecc44c78-800e-4c49-b1ec-66876035d062.png,NA,https://davesredistricting.org/maps#viewmap::8f4e0292-205f-4260-b2f2-717687baa0c6
NY,2018,150,lower,Districts for the 2018 Lower State House,NY 2018 Lower State House,ae6b9fb0-8348-4666-a2bf-1997e26cf4e9,1e3b383f-b90f-4594-9228-551308ab0070.png,NA,https://davesredistricting.org/maps#viewmap::ae6b9fb0-8348-4666-a2bf-1997e26cf4e9
NY,2018,63,upper,Districts for the 2018 Upper State House,NY 2018 Upper State House,3c13df3e-2cbc-4ba1-9ee1-2921d81118f0,391d8303-16c4-4bcd-9a30-63deb4b77b0f.png,NA,https://davesredistricting.org/maps#viewmap::3c13df3e-2cbc-4ba1-9ee1-2921d81118f0
NY,2020,27,congress,NY 2020 Congressional,NY 2020 Congressional,6703b5c2-0849-4fdd-9712-f281849255ab,NA,NA,https://davesredistricting.org/maps#viewmap::6703b5c2-0849-4fdd-9712-f281849255ab
NY,2020,150,lower,NY 2020 State House,NY 2020 State House,a8e775b4-a57d-4899-b5fe-797958d6b9ec,NA,NA,https://davesredistricting.org/maps#viewmap::a8e775b4-a57d-4899-b5fe-797958d6b9ec
NY,2020,63,upper,NY 2020 State Senate,NY 2020 State Senate,f5f5e082-407c-432c-899a-6d615cc5faa8,NA,NA,https://davesredistricting.org/maps#viewmap::f5f5e082-407c-432c-899a-6d615cc5faa8
NY,2022,26,congress,NY 2022 Congressional,NY 2022 Congressional,395a7fbe-fa32-47fc-993d-e07d36baff72,NA,FALSE,https://davesredistricting.org/maps#viewmap::395a7fbe-fa32-47fc-993d-e07d36baff72
NY,2022,150,lower,NY 2022 State House,NY 2022 State House,1933abca-db19-40f9-808d-17dd90642cdc,NA,NA,https://davesredistricting.org/maps#viewmap::1933abca-db19-40f9-808d-17dd90642cdc
NY,2022,63,upper,NY 2022 State Senate,NY 2022 State Senate,bb78268d-ea3c-46a1-a484-c192a6c0e15d,NA,FALSE,https://davesredistricting.org/maps#viewmap::bb78268d-ea3c-46a1-a484-c192a6c0e15d
NY,2024,26,congress,NY 2024 Congressional,NY 2024 Congressional,948da7ae-d2f9-48d8-a04a-433f5ff88fcd,NA,FALSE,https://davesredistricting.org/maps#viewmap::948da7ae-d2f9-48d8-a04a-433f5ff88fcd
OH,115,16,congress,Districts for the 116th US Congress,OH 116th Congressional,4767b727-0165-4901-9e40-3fc135bf1032,873117ba-e63d-453d-b445-e3e01f2d5410.png,NA,https://davesredistricting.org/maps#viewmap::4767b727-0165-4901-9e40-3fc135bf1032
OH,116,16,congress,Districts for the 116th US Congress,OH 116th Congressional,4767b727-0165-4901-9e40-3fc135bf1032,873117ba-e63d-453d-b445-e3e01f2d5410.png,NA,https://davesredistricting.org/maps#viewmap::4767b727-0165-4901-9e40-3fc135bf1032
OH,2018,99,lower,Districts for the 2018 Lower State House,OH 2018 Lower State House,51c73f00-ffa5-4aa6-8656-9bfd26baf468,8efb7f47-2583-4e89-a820-8ec5722c7f0d.png,NA,https://davesredistricting.org/maps#viewmap::51c73f00-ffa5-4aa6-8656-9bfd26baf468
OH,2018,33,upper,Districts for the 2018 Upper State House,OH 2018 Upper State House,6c2c2f9c-5ffe-42f0-9e1f-809c8b9eb10d,246b62c6-d1bb-4536-8d39-07542f895c64.png,NA,https://davesredistricting.org/maps#viewmap::6c2c2f9c-5ffe-42f0-9e1f-809c8b9eb10d
OH,2020,16,congress,OH 2020 Congressional,OH 2020 Congressional,00eb40c5-ef15-4634-af87-72fd2b9d062d,NA,NA,https://davesredistricting.org/maps#viewmap::00eb40c5-ef15-4634-af87-72fd2b9d062d
OH,2020,99,lower,OH 2020 State House,OH 2020 State House,8db12bef-0510-4386-be22-19949a43b73c,NA,NA,https://davesredistricting.org/maps#viewmap::8db12bef-0510-4386-be22-19949a43b73c
OH,2020,33,upper,OH 2020 State Senate,OH 2020 State Senate,bc4f22d5-75d7-42f5-a628-c1dc9b0740e4,NA,NA,https://davesredistricting.org/maps#viewmap::bc4f22d5-75d7-42f5-a628-c1dc9b0740e4
OH,2022,15,congress,OH 2022 Congressional,OH 2022 Congressional,64d56870-70ea-4f4d-b667-9a4fd60ac511,NA,FALSE,https://davesredistricting.org/maps#viewmap::64d56870-70ea-4f4d-b667-9a4fd60ac511
OH,2022,99,lower,OH 2022 State House,OH 2022 State House,90de759b-f81d-44c0-a019-d2714a38cc3a,NA,FALSE,https://davesredistricting.org/maps#viewmap::90de759b-f81d-44c0-a019-d2714a38cc3a
OH,2022,33,upper,OH 2022 State Senate,OH 2022 State Senate,6eba71b1-18a1-48d1-99c9-62afba432253,NA,FALSE,https://davesredistricting.org/maps#viewmap::6eba71b1-18a1-48d1-99c9-62afba432253
OH,2024,99,lower,OH 2024 State House,OH 2024 State House,194951e2-47e3-4ce2-9317-f15dbf42ff70,NA,FALSE,https://davesredistricting.org/maps#viewmap::194951e2-47e3-4ce2-9317-f15dbf42ff70
OH,2024,33,upper,OH 2024 State Senate,OH 2024 State Senate,12110497-58f6-416f-a13d-100dcbd88450,NA,FALSE,https://davesredistricting.org/maps#viewmap::12110497-58f6-416f-a13d-100dcbd88450
OH,2026,15,congress,OH 2026 Congressional,OH 2026 Congressional,db6559b0-8923-471b-b219-152ba0decd9b,NA,NA,https://davesredistricting.org/maps#viewmap::db6559b0-8923-471b-b219-152ba0decd9b
OK,115,5,congress,Districts for the 116th US Congress,OK 116th Congressional,a161e79a-cc89-4a86-849b-e9a6983b9900,f327f85f-bc05-4b92-a075-d304ade1e109.png,NA,https://davesredistricting.org/maps#viewmap::a161e79a-cc89-4a86-849b-e9a6983b9900
OK,116,5,congress,Districts for the 116th US Congress,OK 116th Congressional,a161e79a-cc89-4a86-849b-e9a6983b9900,f327f85f-bc05-4b92-a075-d304ade1e109.png,NA,https://davesredistricting.org/maps#viewmap::a161e79a-cc89-4a86-849b-e9a6983b9900
OK,2018,101,lower,Districts for the 2018 Lower State House,OK 2018 Lower State House,37520fcb-1dc3-4f90-a834-5f8949219410,2329f6e3-9acc-4492-8923-0da721e2a7e0.png,NA,https://davesredistricting.org/maps#viewmap::37520fcb-1dc3-4f90-a834-5f8949219410
OK,2018,48,upper,Districts for the 2018 Upper State House,OK 2018 Upper State House,207bc3fe-c715-48ae-8e9e-d5742db0fa4d,d4ec9d91-baed-406d-a3e3-30d012a312ac.png,NA,https://davesredistricting.org/maps#viewmap::207bc3fe-c715-48ae-8e9e-d5742db0fa4d
OK,2020,5,congress,OK 2020 Congressional,OK 2020 Congressional,bae848ae-a6fd-4647-a2fc-3af07978eb28,NA,NA,https://davesredistricting.org/maps#viewmap::bae848ae-a6fd-4647-a2fc-3af07978eb28
OK,2020,101,lower,OK 2020 State House,OK 2020 State House,854457c5-2a04-4288-bcf8-60817508cb57,NA,NA,https://davesredistricting.org/maps#viewmap::854457c5-2a04-4288-bcf8-60817508cb57
OK,2020,48,upper,OK 2020 State Senate,OK 2020 State Senate,8a4e4017-50e4-4ee4-b07f-54ae5de6cf65,NA,NA,https://davesredistricting.org/maps#viewmap::8a4e4017-50e4-4ee4-b07f-54ae5de6cf65
OK,2022,5,congress,OK 2022 Congressional,OK 2022 Congressional,f726bcb3-b750-44b2-9d0b-e2df90fe6fa5,NA,NA,https://davesredistricting.org/maps#viewmap::f726bcb3-b750-44b2-9d0b-e2df90fe6fa5
OK,2022,101,lower,OK 2022 State House,OK 2022 State House,a4a178b9-581b-4591-bcf9-13e18bd850ea,NA,NA,https://davesredistricting.org/maps#viewmap::a4a178b9-581b-4591-bcf9-13e18bd850ea
OK,2022,48,upper,OK 2022 State Senate,OK 2022 State Senate,0fa6fe25-9db7-4777-a150-d2309188823f,NA,NA,https://davesredistricting.org/maps#viewmap::0fa6fe25-9db7-4777-a150-d2309188823f
OR,115,5,congress,Districts for the 116th US Congress,OR 116th Congressional,b4f95111-9fbb-4fd7-8642-53e793155f41,af7938cc-c8e6-4784-bfc8-63e79fc9d909.png,NA,https://davesredistricting.org/maps#viewmap::b4f95111-9fbb-4fd7-8642-53e793155f41
OR,116,5,congress,Districts for the 116th US Congress,OR 116th Congressional,b4f95111-9fbb-4fd7-8642-53e793155f41,af7938cc-c8e6-4784-bfc8-63e79fc9d909.png,NA,https://davesredistricting.org/maps#viewmap::b4f95111-9fbb-4fd7-8642-53e793155f41
OR,2018,60,lower,Districts for the 2018 Lower State House,OR 2018 Lower State House,62477823-1f28-4099-891e-aaf581940b12,e1af11f2-7bbf-4058-99eb-861c8bd06ca1.png,NA,https://davesredistricting.org/maps#viewmap::62477823-1f28-4099-891e-aaf581940b12
OR,2018,30,upper,Districts for the 2018 Upper State House,OR 2018 Upper State House,8a17970d-05bb-4c06-a63e-4e713c682e88,12411608-3d79-4faf-904a-c7b2b9bf275d.png,NA,https://davesredistricting.org/maps#viewmap::8a17970d-05bb-4c06-a63e-4e713c682e88
OR,2020,5,congress,OR 2020 Congressional,OR 2020 Congressional,d0da4067-8219-48b6-9403-6bb5782d2dba,NA,NA,https://davesredistricting.org/maps#viewmap::d0da4067-8219-48b6-9403-6bb5782d2dba
OR,2020,60,lower,OR 2020 State House,OR 2020 State House,9fa8e947-a539-492d-8689-9e40e195b2b9,NA,NA,https://davesredistricting.org/maps#viewmap::9fa8e947-a539-492d-8689-9e40e195b2b9
OR,2020,30,upper,OR 2020 State Senate,OR 2020 State Senate,239a73b1-7273-47c9-b7e6-0601f2714112,NA,NA,https://davesredistricting.org/maps#viewmap::239a73b1-7273-47c9-b7e6-0601f2714112
OR,2022,6,congress,OR 2022 Congressional,OR 2022 Congressional,9b2b545f-5cd2-4e0d-a9b9-cc3915a4750f,NA,NA,https://davesredistricting.org/maps#viewmap::9b2b545f-5cd2-4e0d-a9b9-cc3915a4750f
OR,2022,60,lower,OR 2022 State House,OR 2022 State House,c572dfa0-276b-4a76-8531-06669d885f27,NA,NA,https://davesredistricting.org/maps#viewmap::c572dfa0-276b-4a76-8531-06669d885f27
OR,2022,30,upper,OR 2022 State Senate,OR 2022 State Senate,a5aadfab-0234-489a-a4df-cc008a844926,NA,NA,https://davesredistricting.org/maps#viewmap::a5aadfab-0234-489a-a4df-cc008a844926
PA,115,18,congress,Districts for the 116th US Congress,PA 116th Congressional,bee23a27-3796-4f20-99da-98550eebd85a,ed6b904a-51e2-444a-b6e5-771563255c91.png,NA,https://davesredistricting.org/maps#viewmap::bee23a27-3796-4f20-99da-98550eebd85a
PA,116,18,congress,Districts for the 116th US Congress,PA 116th Congressional,bee23a27-3796-4f20-99da-98550eebd85a,ed6b904a-51e2-444a-b6e5-771563255c91.png,NA,https://davesredistricting.org/maps#viewmap::bee23a27-3796-4f20-99da-98550eebd85a
PA,2018,203,lower,Districts for the 2018 Lower State House,PA 2018 Lower State House,728464bc-3981-42a1-8f92-2013a074e318,b6811e23-3ca1-4cc8-9936-41a6f5e7d9ea.png,NA,https://davesredistricting.org/maps#viewmap::728464bc-3981-42a1-8f92-2013a074e318
PA,2018,50,upper,Districts for the 2018 Upper State House,PA 2018 Upper State House,e9610cd5-e72d-4abc-877a-f40faa6ee538,d5709cf5-a98d-457a-a4d1-c16fca0c4733.png,NA,https://davesredistricting.org/maps#viewmap::e9610cd5-e72d-4abc-877a-f40faa6ee538
PA,2020,18,congress,PA 2020 Congressional,PA 2020 Congressional,3d91ae72-035c-49d8-920b-d44012d3ea2d,NA,NA,https://davesredistricting.org/maps#viewmap::3d91ae72-035c-49d8-920b-d44012d3ea2d
PA,2020,203,lower,PA 2020 State House,PA 2020 State House,1f6aa7de-308c-4ea1-a1bb-bff32d498d77,NA,NA,https://davesredistricting.org/maps#viewmap::1f6aa7de-308c-4ea1-a1bb-bff32d498d77
PA,2020,50,upper,PA 2020 State Senate,PA 2020 State Senate,d395da42-e7b5-4c14-85c8-e76bc6bd6ae6,NA,NA,https://davesredistricting.org/maps#viewmap::d395da42-e7b5-4c14-85c8-e76bc6bd6ae6
PA,2022,17,congress,PA 2022 Congressional,PA 2022 Congressional,b0a94d77-5d99-41c5-bc01-5859a6e1f3e6,NA,NA,https://davesredistricting.org/maps#viewmap::b0a94d77-5d99-41c5-bc01-5859a6e1f3e6
PA,2022,203,lower,PA 2022 State House,PA 2022 State House,12a18072-adf1-48ac-a9d1-12280567b824,NA,NA,https://davesredistricting.org/maps#viewmap::12a18072-adf1-48ac-a9d1-12280567b824
PA,2022,50,upper,PA 2022 State Senate,PA 2022 State Senate,317011f0-6bcd-4df6-a1ee-435a92640426,NA,NA,https://davesredistricting.org/maps#viewmap::317011f0-6bcd-4df6-a1ee-435a92640426
RI,115,2,congress,Districts for the 116th US Congress,RI 116th Congressional,9949d8d8-2197-44b7-9768-e163ec5ad6f6,d648821c-945d-4796-a592-41c451e48a27.png,NA,https://davesredistricting.org/maps#viewmap::9949d8d8-2197-44b7-9768-e163ec5ad6f6
RI,116,2,congress,Districts for the 116th US Congress,RI 116th Congressional,9949d8d8-2197-44b7-9768-e163ec5ad6f6,d648821c-945d-4796-a592-41c451e48a27.png,NA,https://davesredistricting.org/maps#viewmap::9949d8d8-2197-44b7-9768-e163ec5ad6f6
RI,2018,75,lower,Districts for the 2018 Lower State House,RI 2018 Lower State House,9ea70b77-998f-4623-9636-2fc03571a43c,5af58129-ac5b-4661-a3d9-c7819eb40e37.png,NA,https://davesredistricting.org/maps#viewmap::9ea70b77-998f-4623-9636-2fc03571a43c
RI,2018,38,upper,Districts for the 2018 Upper State House,RI 2018 Upper State House,f6b62d62-4816-4894-bed7-8688bef0a6cd,a9c2b98c-426f-4376-b8b8-2e08b3ae8de7.png,NA,https://davesredistricting.org/maps#viewmap::f6b62d62-4816-4894-bed7-8688bef0a6cd
RI,2020,2,congress,RI 2020 Congressional,RI 2020 Congressional,413e574e-0568-48f4-8e4e-0a31aefa65c2,NA,NA,https://davesredistricting.org/maps#viewmap::413e574e-0568-48f4-8e4e-0a31aefa65c2
RI,2020,75,lower,RI 2020 State House,RI 2020 State House,e1f078e4-db50-4312-b37a-f59be0bea45e,NA,NA,https://davesredistricting.org/maps#viewmap::e1f078e4-db50-4312-b37a-f59be0bea45e
RI,2020,38,upper,RI 2020 State Senate,RI 2020 State Senate,921eba30-ae19-469d-9ef8-c34092bc123f,NA,NA,https://davesredistricting.org/maps#viewmap::921eba30-ae19-469d-9ef8-c34092bc123f
RI,2022,2,congress,RI 2022 Congressional,RI 2022 Congressional,cffbb279-824c-47b8-90c7-3070378e37ae,NA,NA,https://davesredistricting.org/maps#viewmap::cffbb279-824c-47b8-90c7-3070378e37ae
RI,2022,75,lower,RI 2022 State House,RI 2022 State House,90ec6599-f715-4a3a-b50b-5858788046ac,NA,NA,https://davesredistricting.org/maps#viewmap::90ec6599-f715-4a3a-b50b-5858788046ac
RI,2022,38,upper,RI 2022 State Senate,RI 2022 State Senate,2aab93a2-7e15-4047-87a8-02b0deb3eb4e,NA,NA,https://davesredistricting.org/maps#viewmap::2aab93a2-7e15-4047-87a8-02b0deb3eb4e
SC,115,7,congress,Districts for the 116th US Congress,SC 116th Congressional,ea290ec9-e65c-42d6-b244-0090ee40ca2d,b70ae7d0-1ba3-472c-8b4d-ececbc1fc211.png,NA,https://davesredistricting.org/maps#viewmap::ea290ec9-e65c-42d6-b244-0090ee40ca2d
SC,116,7,congress,Districts for the 116th US Congress,SC 116th Congressional,ea290ec9-e65c-42d6-b244-0090ee40ca2d,b70ae7d0-1ba3-472c-8b4d-ececbc1fc211.png,NA,https://davesredistricting.org/maps#viewmap::ea290ec9-e65c-42d6-b244-0090ee40ca2d
SC,2018,124,lower,Districts for the 2018 Lower State House,SC 2018 Lower State House,2d9c8c11-858d-4a51-95b7-b132145d68c0,78bcc124-f3d6-4674-997b-4ffec7758144.png,NA,https://davesredistricting.org/maps#viewmap::2d9c8c11-858d-4a51-95b7-b132145d68c0
SC,2018,46,upper,Districts for the 2018 Upper State House,SC 2018 Upper State House,4b582568-5d9e-48c2-9312-aeccbc285365,affee558-5d5a-47ed-b870-66c5d6cab406.png,NA,https://davesredistricting.org/maps#viewmap::4b582568-5d9e-48c2-9312-aeccbc285365
SC,2020,7,congress,SC 2020 Congressional,SC 2020 Congressional,ac3c139e-73a1-4391-87f4-1aaaf7ead166,NA,NA,https://davesredistricting.org/maps#viewmap::ac3c139e-73a1-4391-87f4-1aaaf7ead166
SC,2020,124,lower,SC 2020 State House,SC 2020 State House,daa5b74c-5f3f-4793-8bf4-59c3224d97c2,NA,NA,https://davesredistricting.org/maps#viewmap::daa5b74c-5f3f-4793-8bf4-59c3224d97c2
SC,2020,46,upper,SC 2020 State Senate,SC 2020 State Senate,b0cf2d82-6dc3-48cd-8ba4-af26dddd964a,NA,NA,https://davesredistricting.org/maps#viewmap::b0cf2d82-6dc3-48cd-8ba4-af26dddd964a
SC,2022,7,congress,SC 2022 Congressional,SC 2022 Congressional,839561a1-8c15-4c4b-ab56-3275d68092f9,NA,NA,https://davesredistricting.org/maps#viewmap::839561a1-8c15-4c4b-ab56-3275d68092f9
SC,2022,46,upper,SC 2022 State Senate,SC 2022 State Senate,7c9df455-6865-4f9e-8172-7c1a26ab28b9,NA,NA,https://davesredistricting.org/maps#viewmap::7c9df455-6865-4f9e-8172-7c1a26ab28b9
SC,2022,124,lower,SC 2022 State House,SC 2022 State House,f886f454-bdf5-463e-823e-7dfe56c8bbdd,NA,NA,https://davesredistricting.org/maps#viewmap::f886f454-bdf5-463e-823e-7dfe56c8bbdd
SC,2024,124,lower,SC 2024 State House,SC 2024 State House,1e28dcaf-fe98-47a0-a2b7-76f890b6c62a,NA,NA,https://davesredistricting.org/maps#viewmap::1e28dcaf-fe98-47a0-a2b7-76f890b6c62a
SD,2018,37,lower,Districts for the 2018 Lower State House,SD 2018 Lower State House,52ffade8-5e0a-4bea-b603-3a884b5ed4b1,5373d79d-5257-4eb6-ba62-2dc05d194938.png,NA,https://davesredistricting.org/maps#viewmap::52ffade8-5e0a-4bea-b603-3a884b5ed4b1
SD,2018,35,upper,Districts for the 2018 Upper State House,SD 2018 Upper State House,08f2c1ca-c66d-4240-a676-880334fa596b,c3c5446e-8309-4dc3-a9c9-018b127a53e4.png,NA,https://davesredistricting.org/maps#viewmap::08f2c1ca-c66d-4240-a676-880334fa596b
SD,2020,37,lower,SD 2020 State House,SD 2020 State House,f4e49e3f-d68f-4300-acf1-8de45271b8eb,NA,NA,https://davesredistricting.org/maps#viewmap::f4e49e3f-d68f-4300-acf1-8de45271b8eb
SD,2020,35,upper,SD 2020 State Senate,SD 2020 State Senate,106d8866-5d74-4f36-99d2-709a8fbd5b62,NA,NA,https://davesredistricting.org/maps#viewmap::106d8866-5d74-4f36-99d2-709a8fbd5b62
SD,2022,37,lower,SD 2022 State House,SD 2022 State House,364d2cd2-893a-4582-910c-9d91ffcd5c2a,NA,NA,https://davesredistricting.org/maps#viewmap::364d2cd2-893a-4582-910c-9d91ffcd5c2a
SD,2022,35,upper,SD 2022 State Senate,SD 2022 State Senate,0a226808-0b1c-4049-800b-612e18674828,NA,NA,https://davesredistricting.org/maps#viewmap::0a226808-0b1c-4049-800b-612e18674828
TN,115,9,congress,Districts for the 116th US Congress,TN 116th Congressional,47e18b49-85c5-4b07-b523-b29c3a4b3b74,91e34464-8d72-4c25-b271-6f410f24b99b.png,NA,https://davesredistricting.org/maps#viewmap::47e18b49-85c5-4b07-b523-b29c3a4b3b74
TN,116,9,congress,Districts for the 116th US Congress,TN 116th Congressional,47e18b49-85c5-4b07-b523-b29c3a4b3b74,91e34464-8d72-4c25-b271-6f410f24b99b.png,NA,https://davesredistricting.org/maps#viewmap::47e18b49-85c5-4b07-b523-b29c3a4b3b74
TN,2018,99,lower,Districts for the 2018 Lower State House,TN 2018 Lower State House,7aaedde7-1d83-4f09-8f40-7165415e093d,5bdd999c-4f25-47f8-b882-01fa446da231.png,NA,https://davesredistricting.org/maps#viewmap::7aaedde7-1d83-4f09-8f40-7165415e093d
TN,2018,33,upper,Districts for the 2018 Upper State House,TN 2018 Upper State House,cf60c146-2d69-48ec-9d83-aa59337182b1,79891cb2-d0f8-4bda-aae1-cc57c9c53dac.png,NA,https://davesredistricting.org/maps#viewmap::cf60c146-2d69-48ec-9d83-aa59337182b1
